Time [s], Analyzer Name, Decoded Protocol Result
3.032848250000000,I2C,0x20 + ACK
3.032880250000000,I2C,0x0B + ACK
3.032912000000000,I2C,0xAA + ACK
3.032944000000000,I2C,0xAA + ACK
3.032975750000000,I2C,0x28 + ACK
3.033007750000000,I2C,0x30 + ACK
3.033039750000000,I2C,0x40 + ACK
3.033071500000000,I2C,0x87 + ACK
3.033103500000000,I2C,0xC2 + ACK
3.033135250000000,I2C,0x25 + ACK
3.033167250000000,I2C,0x30 + ACK
3.033199000000000,I2C,0x26 + ACK
3.033231000000000,I2C,0x47 + ACK
3.035036000000000,I2C,Setup Write to [0x3A] + ACK
3.035068750000000,I2C,0x0B + ACK
3.035100750000000,I2C,0x18 + ACK
3.036038250000000,I2C,Setup Write to [0x3A] + ACK
3.036071000000000,I2C,0x0A + ACK
3.036103000000000,I2C,0x0C + ACK
3.037030750000000,I2C,Setup Write to [0x3A] + ACK
3.037063500000000,I2C,0x0B + ACK
3.037095250000000,I2C,0x18 + ACK
3.038034250000000,I2C,Setup Write to [0x3A] + ACK
3.038067000000000,I2C,0x0B + ACK
3.038099000000000,I2C,0x18 + ACK
3.039032250000000,I2C,Setup Write to [0x3A] + ACK
3.039064750000000,I2C,0x03 + ACK
3.039096750000000,I2C,0x40 + ACK
3.040031000000000,I2C,Setup Write to [0x3A] + ACK
3.040063750000000,I2C,0x0A + ACK
3.040095750000000,I2C,0x0C + ACK
3.041035500000000,I2C,Setup Write to [0x3A] + ACK
3.041068500000000,I2C,0x04 + ACK
3.041100250000000,I2C,0x05 + ACK
3.042032000000000,I2C,Setup Write to [0x3A] + ACK
3.042064750000000,I2C,0x1E + ACK
3.042096750000000,I2C,0x26 + ACK
3.043034250000000,I2C,Setup Write to [0x3A] + ACK
3.043067000000000,I2C,0x1E + ACK
3.043099000000000,I2C,0x26 + ACK
3.044034250000000,I2C,Setup Write to [0x3A] + ACK
3.044067000000000,I2C,0x1E + ACK
3.044098750000000,I2C,0x27 + ACK
3.045033750000000,I2C,Setup Write to [0x3A] + ACK
3.045066250000000,I2C,0x12 + ACK
3.045098250000000,I2C,0x72 + ACK
3.046044000000000,I2C,Setup Write to [0x3A] + ACK
3.046077000000000,I2C,0x1E + ACK
3.046108750000000,I2C,0x27 + ACK
3.047035000000000,I2C,Setup Write to [0x3A] + ACK
3.047067750000000,I2C,0x1F + ACK
3.047099750000000,I2C,0x66 + ACK
3.048037750000000,I2C,Setup Write to [0x3A] + ACK
3.048070250000000,I2C,0x1B + ACK
3.048102250000000,I2C,0xC2 + ACK
3.049036500000000,I2C,Setup Write to [0x3A] + ACK
3.049069000000000,I2C,0x04 + ACK
3.049101000000000,I2C,0x05 + ACK
3.050035000000000,I2C,Setup Write to [0x3A] + ACK
3.050067750000000,I2C,0x0C + ACK
3.050099750000000,I2C,0x85 + ACK
3.051053750000000,I2C,Setup Write to [0x3A] + ACK
3.051086500000000,I2C,0x1A + ACK
3.051118750000000,I2C,0x8F + ACK
3.052049750000000,I2C,Setup Write to [0x3A] + ACK
3.052082500000000,I2C,0x05 + ACK
3.052114750000000,I2C,0x49 + ACK
3.053047500000000,I2C,Setup Write to [0x3A] + ACK
3.053080250000000,I2C,0x19 + ACK
3.053112000000000,I2C,0x40 + ACK
3.054038000000000,I2C,Setup Write to [0x3A] + ACK
3.054071000000000,I2C,0x01 + ACK
3.054102750000000,I2C,0x0C + ACK
3.055036750000000,I2C,Setup Write to [0x3A] + ACK
3.055069500000000,I2C,0x02 + ACK
3.055101500000000,I2C,0x40 + ACK
3.056042750000000,I2C,Setup Write to [0x3A] + ACK
3.056075750000000,I2C,0x08 + ACK
3.056107500000000,I2C,0x62 + ACK
3.057038750000000,I2C,Setup Write to [0x3A] + ACK
3.057071500000000,I2C,0x09 + Missing ACK/NAK
3.057103250000000,I2C,Setup Write to [0x20] + ACK
3.058040250000000,I2C,Setup Write to [0x3A] + ACK
3.058072750000000,I2C,0x03 + ACK
3.058104750000000,I2C,0x40 + ACK
3.059041000000000,I2C,Setup Write to [0x3A] + ACK
3.059073750000000,I2C,0x01 + ACK
3.059105500000000,I2C,0x0D + ACK
3.060040250000000,I2C,Setup Write to [0x3A] + ACK
